player_id,player_name,1st_serve_win_pct_mean,1st_serve_in_pct_mean,2nd_serve_win_pct_mean,2nd_serve_in_pct_mean,ace_rate,df_rate,bp_saved_pct,return_1st_win_pct,return_2nd_win_pct,return_total_win_pct,1st_serve_win_pct_std,2nd_serve_win_pct_std,win_rate,avg_match_length,sets_per_match,win_rate_F,win_rate_QF,win_rate_R16,win_rate_R32,win_rate_R64,win_rate_SF,win_rate_Clay,win_rate_Grass,win_rate_Hard,total_matches,num_years_active,first_year,last_year
100284,Jimmy Connors,0.6265108535197662,0.6538575585999696,0.5402577187576836,0.9180723986340962,0.021359194363176424,0.02899266599620037,0.5603551913807834,0.3086698144263502,0.5358285006308895,0.40660066002692735,0.10328976502197126,0.11330060389121045,0.5189873417721519,117.9873417721519,2.6455696202531644,NA,0.4444444444444444,0.6923076923076923,0.42424242424242425,0.7692307692307693,0.0,0.36363636363636365,0.5714285714285714,0.5849056603773585,79,6,1991,1996
100437,Bjorn Borg,0.646643987466157,0.5648710077277879,0.4304130398424196,0.8471413812744458,0.05165823682108429,0.06497876716742278,0.4775673400673401,0.247693416458761,0.3951644788287867,0.312825725210874,0.11405973379474413,0.08974995569039752,0.0,83.5,2.25,NA,NA,NA,0.0,0.0,NA,0.0,NA,0.0,12,3,1991,1993
100529,Kevin Curren,0.760902002201933,0.4936875271372151,0.5435889994514852,0.9094429370784964,0.0963182606339213,0.04629200108857574,0.5634944772360393,0.2876102344208102,0.4687962740356192,0.3581009492326117,0.10366524612269697,0.11708798766684515,0.4393939393939394,107.0,2.621212121212121,NA,0.0,0.4444444444444444,0.4,0.47619047619047616,NA,0.3333333333333333,0.375,0.425,66,3,1991,1993
100532,Johan Kriek,0.7250238041141119,0.5205860035170663,0.5402504840529847,0.8459000220803741,0.06301984347720725,0.07152624064235552,0.6248141013691253,0.24648227461590116,0.5001184229334368,0.3479466175614578,0.08368096479399878,0.12284822929826288,0.2727272727272727,84.27272727272727,2.272727272727273,NA,0.0,0.5,0.5,0.0,NA,NA,0.25,0.0,11,2,1991,1992
100581,John McEnroe,0.7604810900807794,0.561469489250454,0.5840988296499967,0.8799802813014582,0.0741633633515248,0.052290185352666774,0.6037238824165133,0.31640823976163374,0.5103581528408845,0.39830098454753404,0.0911855823752666,0.11976680522749945,0.6421052631578947,116.33333333333333,2.6,0.5,0.46153846153846156,0.6086956521739131,0.6764705882352942,1.0,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.673469387755102,95,4,1991,1994
100628,Michiel Schapers,0.6965262526616982,0.6737143946206569,0.558743216660552,0.8840616120510797,0.04589184152258045,0.03812281429685023,0.5750136633178913,0.2596929006378528,0.45718775356319186,0.3398143724444222,0.08292374613126008,0.11798585858360772,0.4,107.0625,2.646153846153846,0.0,0.5,0.4,0.3333333333333333,0.5,0.5,0.4,0.5384615384615384,0.3888888888888889,65,3,1991,1993
100644,Alexander Zverev,0.751201585795646,0.6664202578963635,0.5953638458708905,0.865729891977219,0.11044541842624954,0.045642976110295254,0.6065436999921452,0.3072256557497567,0.5111887317640649,0.3863380914021511,0.09177565211094924,0.1284188885370402,0.6965944272445821,116.5813953488372,2.668730650154799,0.6388888888888888,0.6989247311827957,0.6992481203007519,0.7516339869281046,0.7808219178082192,0.49295774647887325,0.7352941176470589,0.6610169491525424,0.6814621409921671,646,12,2013,2024
100652,Cassio Motta,0.6582020119000999,0.6549028788744904,0.5400802712788954,0.9119640401852387,0.041826230664219095,0.03201249063704512,0.5841254578754579,0.317095436835726,0.45811506278895675,0.37034375971285777,0.11142581894157946,0.17451378793892675,0.3333333333333333,82.61904761904762,2.238095238095238,NA,1.0,0.2,0.5,0.0,0.0,0.25,NA,0.4166666666666667,21,3,1991,1993
100653,Andres Gomez,0.7176008465534228,0.5623999831269025,0.5358415335163682,0.9085935891501127,0.07434616139439416,0.04102910667780299,0.5832728991151451,0.3275183715634644,0.48029049595568624,0.390015196978918,0.08036307692998226,0.110025624675598,0.463768115942029,98.66176470588235,2.5217391304347827,1.0,0.5,0.4,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.43243243243243246,NA,0.4,69,3,1991,1993
100656,Ivan Lendl,0.7656605776170956,0.5534565086443725,0.5785187451636769,0.9254023698807903,0.08998847630958766,0.03312795100544625,0.6284249200948119,0.3243248613915881,0.5305592239648186,0.4120040249349506,0.1027403420195143,0.12345399174268773,0.6666666666666666,111.01282051282051,2.613821138211382,0.4,0.5526315789473685,0.6610169491525424,0.7763157894736842,0.6111111111111112,0.6521739130434783,0.6,0.5,0.689922480620155,246,4,1991,1994
100676,Yannick Noah,0.7023788073416297,0.5524768717035854,0.49804189212978045,0.9072800364736151,0.06114098693449871,0.04399783869270174,0.5889611004569454,0.30354548046047103,0.41753032808385265,0.3459399587071364,0.06857512309047434,0.11466572395046326,0.42105263157894735,94.21052631578948,2.3157894736842106,NA,0.0,0.6666666666666666,0.3,0.75,NA,0.5454545454545454,NA,0.25,19,6,1991,1996
100689,Tim Mayotte,0.7420097218836558,0.5499913263107704,0.5735207845769474,0.8315195218743879,0.07830041293069269,0.0740925072912576,0.5636507936507936,0.3117179218991921,0.48319672027043165,0.3794175865795752,0.08786684747640156,0.08849266973111403,0.46153846153846156,106.26923076923077,2.6153846153846154,NA,NA,0.0,0.5,0.625,NA,NA,0.75,0.4666666666666667,26,2,1991,1992
