,1st_serve_win_pct_mean,1st_serve_in_pct_mean,2nd_serve_win_pct_mean,2nd_serve_in_pct_mean,ace_rate,df_rate,bp_saved_pct,return_1st_win_pct,return_2nd_win_pct,return_total_win_pct,1st_serve_win_pct_std,2nd_serve_win_pct_std,win_rate,avg_match_length,sets_per_match,win_rate_F,win_rate_QF,win_rate_R16,win_rate_R32,win_rate_R64,win_rate_SF,win_rate_Clay,win_rate_Grass,win_rate_Hard,total_matches,num_years_active
count,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0,212120.0
mean,1.6748603049219786e-18,0.0,-1.2728938317407036e-18,-2.0098323659063743e-19,-2.679776487875166e-19,2.9310055336134626e-20,-2.0098323659063743e-19,2.679776487875166e-19,1.2058994195438245e-18,2.0098323659063743e-19,1.6748603049219787e-20,-7.955586448379398e-20,-3.751687083025232e-18,-6.002699332840371e-17,-3.3497206098439574e-20,-5.8955082733253645e-18,1.0719105951500664e-18,-7.503374166050464e-18,-3.215731785450199e-18,1.6078658927250994e-18,9.111240058775564e-18,5.359552975750331e-18,1.0719105951500664e-18,-9.915173005138113e-18,0.0,0.0
std,0.0585500648961669,0.057017468496280935,0.03618436866100195,0.036719111559110465,0.04834645304640762,0.01594220235767822,0.050059991446643796,0.034180029965459234,0.038481916113331883,0.03507161389748737,0.012061322144685947,0.015020506537674635,0.16315064008883387,9.332170847698473,0.1168234351035037,0.3845680628087725,0.26818416254448546,0.22672207166244904,0.1843228241778912,0.23593762739348428,0.32379576334584875,0.22346804759884475,0.2784013008923865,0.19756435884744009,357.6493014949279,5.353437241999523
min,-0.280345089320136,-0.35948230164978656,-0.23173342063461327,-0.21676117577584264,-0.22207820872736322,-0.08861902955911946,-0.2973841110334375,-0.1595875772477508,-0.18081035057998823,-0.16187676158256503,-0.09863492347963809,-0.17675994253676797,-0.8196159122085048,-54.28184948352189,-1.1942528735632187,-1.0,-1.0,-1.0,-0.9105691056910569,-1.0,-1.0,-0.9103585657370518,-0.8888888888888888,-1.0,-1448.0,-24.0
25%,-0.03929184035095423,-0.035962626293251976,-0.02286243687935066,-0.022942783549662615,-0.027823498896137576,-0.009973436506826604,-0.031462992473817175,-0.022516444303167238,-0.02457068496851028,-0.022657678735273135,-0.007071660870028876,-0.00808113565132558,-0.10625000000000001,-6.150046298160149,-0.06521739130434767,-0.25,-0.1613272311212815,-0.1380952380952381,-0.11540238991219381,-0.15217391304347827,-0.196078431372549,-0.13745641094420602,-0.1766917293233083,-0.12568306010928965,-219.0,-3.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.03929184035095423,0.035962626293251976,0.02286243687935066,0.022942783549662615,0.027823498896137576,0.009973436506826604,0.031462992473817175,0.022516444303167238,0.02457068496851028,0.022657678735273135,0.007071660870028876,0.00808113565132558,0.10625000000000001,6.150046298160149,0.06521739130434767,0.25,0.1613272311212815,0.1380952380952381,0.11540238991219381,0.15217391304347827,0.196078431372549,0.13745641094420602,0.1766917293233083,0.12568306010928965,219.0,3.0
max,0.280345089320136,0.35948230164978656,0.23173342063461327,0.21676117577584264,0.22207820872736322,0.08861902955911946,0.2973841110334375,0.1595875772477508,0.18081035057998823,0.16187676158256503,0.09863492347963809,0.17675994253676797,0.8196159122085048,54.28184948352189,1.1942528735632187,1.0,1.0,1.0,0.9105691056910569,1.0,1.0,0.9103585657370518,0.8888888888888888,1.0,1448.0,24.0
